"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_51","garrett_61","garrett_96","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","garrett_57","garrett_89","garrett_38","garrett_68","garrett_62","garrett_66","garrett_41","garrett_71","garrett_70","garrett_78","garrett_40","garrett_45","25617X23","25617X24","25617X25","25617X26","25617X27","25617X28","25617X29","25617X30","25617X31","25617X32","25617X33","25617X34","25617X35","25617X36","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Brigitvirus brigit",0.00324259472429838,0,0,0,0,0,0,0.0577700751010976,0,0.000502975097702913,0,0,0,0,0.0149209191286183,0,0,0,0,0,0,0.0651041666666667,0,0,0,0,0,0,9.30126999540517e-05,0.000436520677984516,0,0,0,0,0,0,0.014709848243399,0.000169218195017201,0,0,0,0,0,0,0.000168808755997634,0,0.00545063091052789
"Roseolovirus humanbeta6a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602223117019635,0.0168699584834436,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murine leukemia virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000808400902175407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105205571687077,0,0,0,0,0,0,0,0
"Bacteroides fragilis",0.136188978420532,0.0942692171727091,0.148576476729711,0.0402982067298005,0,0.0166195778627223,0.762806602222661,4.10167533217793,0.751215201060539,0.199178138690353,0.341734301580521,0.0221124788088745,0.561009817671809,0.00313659068275738,0.283497463443748,0,0.299202127659574,0.00448135755258126,0.0225604620382625,0.0175126236829048,0.0113176126304557,1.52994791666667,0.0226419976711088,0.038369521058096,0.388098318240621,0.38735010081715,0.0186063819890222,0.0109595546767616,0.00381352069811612,0.00388018380430681,0.00451870477972643,0.00425345553878679,0.00251272403997848,0.00352682058887323,0.285088835717558,0.0965596166225592,0.301551888989679,0.00981465531099766,0.106257627403947,0.00132631491689808,0.00285416636935767,0.00589413760478211,0.00795192187169372,0.00700717410972823,0.00123793087731599,0.0030016316011775,0.0551876379690949
"Bacteroides xylanisolvens",2.87618152045267,0.00392788404886288,0.104405091756013,0.866411444690711,0,0,0.13809429867824,0.158867706528018,0.0800927971718957,0.0336993315460952,0.128150363092695,0.044224957617749,0.420757363253857,0.00235244301206803,1.0593852581319,0,0.0498670212765957,0.0418260038240918,0.0466249548790759,0.0598347975832579,0.000808400902175407,0.130208333333333,0.0355802820545996,0.00451406130095247,0.0472951355562047,0.132654144115462,0,0.00519437226867348,0.0055807619972431,0.00237661258013792,0.0026580616351332,0.00540871506783999,0.00143287569221913,0.00240999406906338,0.0933326545503911,0.24497532365353,0.27948711662458,0.00659950960567084,0.128350797458233,0.00447631284453102,0.00313958300629344,0.00300846606910754,0.00188689671531715,0.0109229478769293,0.00208197465730416,0.00514565417344714,0.052462322513831
"Bacteroides finegoldii",0.0664731918481169,0,0.00401558045215436,0.00503727584122507,0,0,0.558953113697639,0.072212593876372,0.571696862571807,0.0150892529310874,0.128150363092695,0,0.140252454417952,0,0.134288272157565,0,0.116356382978723,0,0.0330886776561184,0.00437815592072619,0,0.09765625,0,0.0225703065047623,0.0125193005884071,0.0159184972938555,0,0.00222615954371721,0.00613883819696741,0.000776036760861362,0.00223277177351188,0.0023105190581064,0.000706054688919572,0.000529023088330985,0.064484379507543,0.141263142836707,0.120130427321091,0.00406123668041283,0.0368219500904768,0.00298420856302068,0.00371041628016497,0.00104375353418017,0.000943448357658577,0.00401882044528531,0.000787774194655627,0,0.0218025236421116
"Bacteroides ovatus",1.38458794727541,0.0235673042931773,0.140545315825403,0.332460205520854,0,0.0830978893136114,0.368251463141974,1.66088965915656,0.114615554573575,0.178556159684534,0.768902178556173,0.0368541313481241,1.33239831697055,0.000784147670689344,0.820650552074008,0.0640717603716162,0.0664893617021277,0.0104565009560229,0.236132836000481,0.0350252473658095,0.0226352252609114,0.227864583333333,0.0194074265752361,0.0112851532523812,0.347758349677976,0.196328133290884,0.0558191459670667,0.00519437226867348,0.00688293979659983,0.00344366312632229,0.00404025368540246,0.0076142105323961,0.00122521254841926,0.00164584960814084,0.145938332569703,0.177025963808025,0.306455171737478,0.00896856433591165,0.132559020325716,0.00464210220914328,0.012272915388238,0.00521876767090083,0.00485202012510125,0.0259677628772281,0.00157554838931125,0.00407364288731232,0.0401984029651432
"Bacteroides uniformis",1.67804276982441,0.0157115361954515,0.293137373007268,0.332460205520854,0,0.199434934352667,0.506345761820214,2.4841132293472,0.360417587273531,0.519070300829406,2.90474156343443,0.0319402471683742,1.4726507713885,0.00156829534137869,1.73082661891973,0.160179400929041,0.216090425531915,0.0194192160611855,0.320358560943328,0.0715098800385278,0.00646720721740325,0.716145833333333,0.00646914219174537,0.0564257662619058,0.129366106080207,0.639392974636528,0.0837287189506001,0.0424111933585099,0.0510639722747744,0.0294893969127318,0.0245604895086307,0.0556099927848791,0.00695671531729579,0.018221906375845,1.62229123182134,1.95265002503397,2.43938316703033,0.0465350036297303,1.30034086605227,0.0145894640858789,0.0273999971458336,0.0034382469361229,0.0160386220801958,0.0798611755152849,0.0150239792837895,0.0160801692920223,0.663614313356771
"Bacteroides thetaiotaomicron",1.15436372185022,0.0707019128795318,0.0963739308517046,0.438242998186581,0,0.0332391557254446,0.683895574406523,1.28538417099942,0.481937693327441,0.0538183354542117,0.640751815463477,0.0343971892582492,1.4726507713885,0.00313659068275738,1.49209191286183,0.0160179400929041,0.216090425531915,0.0448135755258126,0.0481289856816268,0.0554566416625317,0.00727560811957866,1.92057291666667,0.0129382843834907,0.0338554597571435,0.0848530373214261,0.485514167462592,0.0465159549725556,0.0105029065652299,0.0106034477947619,0.00586877800401405,0.00866528093053422,0.00771923412594639,0.00637525851465614,0.00740632323663379,0.125574844304163,0.291466990916243,0.294196964867979,0.0118452736512041,0.157808357530615,0.0024868404691839,0.00884791574500878,0.00712208293911172,0.00673891684041841,0.0182392620209102,0.00151927880397871,0.00150081580058875,0.107649960482926
"Bacteroides caccae",0.714992136707794,0.0707019128795318,0.0722804481387785,0.080596413459601,0,0.0664783114508891,0.0197277569540343,0.794338532640092,0.0262372956252762,0.114175347178561,0.341734301580521,0.00245694208987494,0.280504908835905,0.00313659068275738,0.26857654431513,0.0320358801858081,0.265957446808511,0.00896271510516252,0.0436168932739743,0.0131344677621786,0.00565880631522785,1.46484375,0.00970371328761806,0.00225703065047623,0.00556413359484761,0.753475538575825,0.0558191459670667,0.0113020407604104,0.00753402869627819,0.00756635841839828,0.00159483698107992,0.00855942287434872,0.00147440832097911,0.00434974539294365,0.201937925299937,0.218153207925041,0.394714261197872,0.0106607462860837,0.195682363337962,0.0033157872922452,0.0156979150314672,0.0136915904777751,0.016847292101046,0.0243190160278803,0.00219451382796925,0.00557445868790107,0.0926607254789742
"Bacteroides faecis",0.0713370839345644,0.0117836521465886,0.108420672208168,0.00503727584122507,0,0,0.0328795949233905,0.0577700751010976,0.0428082191780822,0.226338793966311,0.384451089278086,0.00245694208987494,0.140252454417952,0,0.0895255147717099,0.0160179400929041,0.0664893617021277,0.00149378585086042,0.0255685236433642,0.00145938530690873,0.000808400902175407,0.162760416666667,0,0.00451406130095247,0.00417310019613571,0.0238777459407832,0,0.00114162027882934,0.000930126999540517,0.000776036760861362,0.00148851451567459,0.00236303085488155,0.00201433249485878,0.00146950857869718,0.00169695735546166,0.0107288462913955,0.0318713378606977,0.00101530917010321,0.01367672431932,0.00049736809383678,0.000285416636935767,0.00380663053642178,0.000673891684041841,0.000206093356168477,0.000168808755997634,0.000643206771680892,0.0129452484125037
"Bacteroides stercoris",2.66865545809757,0.00785576809772576,0.112436252660322,0.36772113640943,0,0.0332391557254446,0.355099625172618,3.06181398035817,0.284467520989837,0.0331963564483922,0.939769329346433,0.0589666101569986,10.5890603085554,0.00470488602413606,4.95374515070128,0,0.166223404255319,0.0268881453154876,0.222596558777524,0.153235457225417,0.0250604279674376,0.618489583333333,0.00323457109587269,0.00225703065047623,0.941729610927958,0.180409635997029,0.0558191459670667,0.0133569572623032,0.0231601622885589,0.00688732625264459,0.0127055346159367,0.022002442848786,0.00323954504327804,0.00399706333405633,0.217210541499092,0.681281739503612,1.14491652161122,0.0140451101864277,0.422926398182048,0.00696315331371493,0.00827708247113724,0.0031312606025405,0.00768236519807698,0.0262769029114808,0.00281347926662724,0.0107201128613482,0.257542310522443
"Bacteroides caecimuris",0.076200976021012,0,0.00401558045215436,0.00503727584122507,0,0,0,0,0.00276182059213433,0.00452677587932621,0,0,0,0.00156829534137869,0.044762757385855,0,0,0.00448135755258126,0,0.00145938530690873,0.000808400902175407,0.227864583333333,0,0,0.00556413359484761,0.0132654144115462,0,0.000456648111531735,0.00055807619972431,0.000242511487769176,0.000318967396215983,0.000367582577426019,0.000830652575199497,0.000822924804070421,0.00339391471092331,0,0.00245164137389983,0.00236905473024081,0.00526027858435383,0.00016578936461226,0.000856249910807301,0.000798164467314244,0.000134778336808368,0.000412186712336954,0.00011253917066509,0,0.00204398659144796
"Bacteroides sp. A1C1",0.0129703788971935,0.00785576809772576,0,0,0,0,0.10521470375485,0.0144425187752744,0.0800927971718957,0.00301785058621748,0,0,0,0,0.0596836765144733,0,0,0,0.00150403080255084,0.00145938530690873,0,0,0,0.00451406130095247,0.00278206679742381,0.0159184972938555,0,0.000799134195180536,0.00055807619972431,0,0,0.00152284210647922,6.22989431399623e-05,0.000352682058887323,0.00339391471092331,0,0.0343229792345976,0.00186140014518921,0.0210411143374153,0.000828946823061301,0.000570833273871534,0,0.000134778336808368,0.00360663373294835,0,0.000214402257226964,0.00613195977434388
"Bacteroides sp. MSB163",0.00486389208644757,0,0.00401558045215436,0,0,0,0.00657591898467811,0,0.00690455148033584,0.0160952031264932,0,0,0.210378681626928,0.000784147670689344,0.134288272157565,0,0,0,0.00150403080255084,0,0,0,0,0,0,0.0238777459407832,0,0.000342486083648801,0.000651088899678362,0,0.000744257257837295,0.000210047187100582,0.000436092601979736,0.000352682058887323,0.0101817441327699,0.0125169873399614,0.00245164137389983,0.00203061834020641,0.00105205571687077,0,0,0.000306986333582402,0.000134778336808368,0.000206093356168477,0,0.000214402257226964,0.00136265772763197
"Bacteroides sp. D2",0.162129736214919,0.00392788404886288,0.0200779022607718,0.0302236550473504,0,0,0.0328795949233905,0.0577700751010976,0.0151900132567388,0.00955652685635534,0,0.00245694208987494,0,0,0.104446433900328,0,0,0.00149378585086042,0.0135362772229575,0.00437815592072619,0.000808400902175407,0.130208333333333,0.00970371328761806,0,0.00417310019613571,0.0159184972938555,0,0.00216907852977574,0.000465063499770259,0.00019400919021534,0.00111638588675594,0.000892700545177474,0.000519157859499686,0.000529023088330985,0.00169695735546166,0.0518560904084114,0.0196131309911986,0.00203061834020641,0.00841644573496612,0.00116052555228582,0,0.000368383600298882,0.000808670020850209,0,0,0,0
"Bacteroides sp. HF-162",0,0.00785576809772576,0,0,0,0,0.0131518379693562,0,0.00828546177640301,0.0040238007816233,0.0427167876975651,0,0.0701262272089762,0,0.0149209191286183,0,0,0,0.00300806160510167,0,0,0.520833333333333,0,0,0.0013910333987119,0.10347023241006,0,0.000399567097590268,0.000465063499770259,0.000582027570646022,0.000159483698107992,0.000840188748402329,4.15326287599748e-05,0.000293901715739436,0.0865448251285445,0.0625849366998069,0.0490328274779965,0.000169218195017201,0.0347178386567353,0,0,0.000368383600298882,0.000539113347233472,0.00072132674658967,0.000450156682660358,0,0.00476930204671191
"Bacteroides sp. ZJ-18",0,0,0,0,0,0,0,0,0.00276182059213433,0.00150892529310874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159483698107992,0,2.07663143799874e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CACC 737",0.00810648681074596,0,0,0,0,0,0.0394555139080687,0.101097631426921,0.024856385329209,0.0150892529310874,0.0427167876975651,0.00491388417974988,0.210378681626928,0,0.0298418382572366,0,0,0,0.00300806160510167,0.00437815592072619,0.00161680180435081,0.162760416666667,0,0,0,0,0,0.000742053181239069,0.000279038099862155,0,0.000531612327026639,0.000577629764526601,0.000103831571899937,0,0,0.0143051283885273,0,0,0.0105205571687077,0.00033157872922452,0,6.13972667164803e-05,0.000269556673616736,0.000206093356168477,0.000168808755997634,0,0
"Bacteroides intestinalis",0.0275620551565363,0.0235673042931773,0.00803116090430872,0.00503727584122507,0,0.0498587335881669,0.197277569540343,0.0144425187752744,0.16570923552806,0.0100595019540583,0.0854335753951303,0.00491388417974988,0.0701262272089762,0.00313659068275738,0.044762757385855,0,0.182845744680851,0.00448135755258126,0.0150403080255084,0.00145938530690873,0.000808400902175407,0.09765625,0.00646914219174537,0.00902812260190493,0.00278206679742381,0.42184017828717,0,0.00348194185042948,0.00241833019880534,0.00019400919021534,0.00271122286783586,0.00094521234195262,0.0011629136052793,0.00217487269647183,0.0729691662848513,0.125169873399614,0.132388634190591,0.00439967307044723,0.0368219500904768,0.00265262983379616,0.000570833273871534,0.00264008246880865,0.00202167505212552,0.00391577376720107,0.000225078341330179,0.00278722934395053,0.0122639195486878
"Bacteroides zhangwenhongii",0.00810648681074596,0,0.00401558045215436,0,0,0,0.0723351088314592,0.0433275563258232,0.0842355280600972,0.000502975097702913,0,0,0,0.00156829534137869,0.0298418382572366,0,0,0.00448135755258126,0.0105282156178559,0,0,0,0,0.00902812260190493,0.00417310019613571,0.00265308288230924,0,0.000513729125473202,9.30126999540517e-05,0,0.0013290308175666,0.000157535390325437,0.000602223117019635,0.000529023088330985,0.00169695735546166,0.00536442314569773,0.00490328274779965,0.00219983653522361,0.0031561671506123,0.00033157872922452,0,0.00392942506985474,0.000539113347233472,0,0,0.000214402257226964,0
"Bacteroides salyersiae",0.0405324340537298,0,0,0.0151118275236752,0,0,0.0328795949233905,0.0288850375505488,0.00552364118426867,0.0432558584024505,0.0854335753951303,0.00245694208987494,0,0.00156829534137869,0.0746045956430916,0,0.0332446808510638,0.0074689292543021,0.0376007700637709,0.00583754122763492,0.000808400902175407,0,0.00646914219174537,0.0067710919514287,0.0013910333987119,0.0583678234108034,0,0.00245448359948307,0.000837114299586465,0.000388018380430681,0.00143535328297193,0.0011552595290532,0.00340567555831794,0.00176341029443662,0.00678782942184663,0.00715256419426364,0.014709848243399,0.00372280029037842,0.0031561671506123,0.0016578936461226,0.000856249910807301,0.00227169886850977,0.00148256170489205,0.000103046678084239,0.000337617511995269,0.000214402257226964,0.00136265772763197
"Bacteroides cellulosilyticus",0.0291833525186855,0.00785576809772576,0.132514154921094,0.080596413459601,0,0.0332391557254446,0.0789110278161373,0.664355863662623,0.0276182059213434,0.353591493685148,0.341734301580521,0.0122847104493747,0.981767180925666,0.00235244301206803,0.641599522530588,0,0.0997340425531915,0,0.297798098905066,0.0248095502174484,0.00565880631522785,0.162760416666667,0.00970371328761806,0.0135421839028574,0.00834620039227142,0.0716332378223496,0.0837287189506001,0.0105599875791714,0.0112545366944403,0.00523824813581419,0.00494399464134774,0.0112900363066563,0.00272038718377835,0.0032329188731338,0.240967944475555,0.286102567770546,0.502586481649464,0.00439967307044723,0.27458654210327,0.00513947030298006,0.0131291652990453,0.00116654806761313,0.00377379343063431,0.0274104163704075,0.00264467051062961,0.00321603385840446,0.0885727522960783
"uncultured Bacteroides sp.",0.0535028129509233,0,0.00803116090430872,0.00503727584122507,0,0,0.00657591898467811,0,0.00966637207247017,0.0040238007816233,0,0.00245694208987494,0,0.0156829534137869,0.0298418382572366,0.0160179400929041,0.0332446808510638,0.0074689292543021,0.00902418481530502,0.00145938530690873,0.00242520270652622,0,0,0.00902812260190493,0.00278206679742381,0.00795924864692773,0,0.00953252932822496,0.00362749529820802,0.0035891700189838,0.00685779901864364,0.000787676951627183,0.00784966683563524,0.00905217284477463,0.00169695735546166,0.00178814104856591,0.00245164137389983,0.0201369652070469,0.0105205571687077,0.00232105110457164,0.00371041628016497,0.00884120640717317,0.00431290677786778,0.000412186712336954,0.000450156682660358,0,0.00136265772763197
"Bacteroides luhongzhouii",0.131325086334085,0,0.00803116090430872,0.0453354825710256,0,0,0.0131518379693562,0.0433275563258232,0.0041427308882015,0.00100595019540583,0,0.00245694208987494,0,0,0.044762757385855,0.0160179400929041,0,0,0.00150403080255084,0.00145938530690873,0.000808400902175407,0.162760416666667,0.00323457109587269,0,0.0013910333987119,0.0132654144115462,0,0.000342486083648801,0,0,0.000744257257837295,0.000367582577426019,0.000269962086939836,0.000529023088330985,0.00509087206638497,0.0250339746799228,0,0.00118452736512041,0.00526027858435383,0.00016578936461226,0.000570833273871534,0.000491178133731843,0.000134778336808368,0.000824373424673909,0.00011253917066509,0.000214402257226964,0.0115825906848718
"Bacteroides faecium",0.0729583812967136,0,0.00401558045215436,0.0201491033649003,0,0,0,0.0144425187752744,0.00828546177640301,0.00352082568392039,0,0,0,0.00156829534137869,0.0596836765144733,0.0160179400929041,0.0332446808510638,0.00896271510516252,0.00300806160510167,0,0.000808400902175407,0.09765625,0,0,0.0013910333987119,0.00795924864692773,0,0.00165534940430254,0.000372050799816207,0.000339516082876846,0.000531612327026639,0.00047260617097631,0.000519157859499686,0.000940485490366196,0.0169695735546166,0.00536442314569773,0.00245164137389983,0.00389201848539562,0.00841644573496612,0.00016578936461226,0,0.00221030160179329,0.000134778336808368,0.000927420102758147,5.62695853325448e-05,0,0
"Bacteroides nordii",0.0243194604322379,0.0117836521465886,0,0,0,0,0.118366541724206,0.0288850375505488,0.0510936809544852,0.00352082568392039,0.128150363092695,0.00245694208987494,0,0.00470488602413606,0.044762757385855,0,0.0166223404255319,0.00448135755258126,0,0,0,0.390625,0,0,0,0.172450387350101,0,0.00114162027882934,0.00055807619972431,0.00164907811683039,0.00106322465405328,0.00047260617097631,0.00145364200659912,0.00117560686295774,0.00848478677730828,0.00894070524282956,0.0196131309911986,0.00338436390034402,0.00841644573496612,0.00016578936461226,0.000856249910807301,0.00196471253492737,0.000808670020850209,0.00072132674658967,0,0.000428804514453928,0.000681328863815987
"Bacteroides humanifaecis",0.00972778417289515,0,0.00401558045215436,0,0,0,0.230157164463734,0.0144425187752744,0.106330092797172,0.00704165136784078,0.0854335753951303,0,0,0,0.0149209191286183,0,0,0,0.00451209240765251,0,0.00161680180435081,0,0,0.00225703065047623,0,0.010612331529237,0,0.00131286332065374,0.000837114299586465,0,0.00026580616351332,0.000840188748402329,0.000373793658839774,0.000117560686295774,0.00169695735546166,0.00894070524282956,0.0122582068694991,0.000338436390034402,0.00526027858435383,0,0.00142708318467883,6.13972667164803e-05,0,0.00432796047953802,5.62695853325448e-05,0.000214402257226964,0.00408797318289592
"Bacteroides eggerthii",0.0535028129509233,0,0.00401558045215436,0.0201491033649003,0,0,0,0.101097631426921,0.00828546177640301,0.00553272607473204,0.0854335753951303,0.0122847104493747,0.350631136044881,0.00235244301206803,0.134288272157565,0.0320358801858081,0,0.00448135755258126,0.0105282156178559,0.00583754122763492,0.000808400902175407,0.0651041666666667,0,0,0.0125193005884071,0.00795924864692773,0,0.00439523807349295,0.00409255879797828,0.00164907811683039,0.00260490040243053,0.00094521234195262,0.00398713236095759,0.00193975132388028,0.0254543603319249,0.0643730777483728,0.0318713378606977,0.00507654585051603,0.00841644573496612,0.00049736809383678,0.000570833273871534,0.00257868520209217,0.00148256170489205,0.000515233390421193,0.000281347926662724,0,0.00340664431907993
"Bacteroides zoogleoformans",0.00810648681074596,0.00392788404886288,0.00401558045215436,0.00503727584122507,0.0414736987627013,0.0166195778627223,0,0,0.016570923552806,0.00452677587932621,0,0.0196555367189995,0,0.0101939197189615,0.0149209191286183,0,0,0.00896271510516252,0.00902418481530502,0.00291877061381746,0.00727560811957866,0.0651041666666667,0,0,0.00556413359484761,0,0,0.00553685835232228,0.00111615239944862,0.00169758041438423,0.00217961054080922,0.00131279491937864,0.00425709444789742,0.00352682058887323,0,0,0.0245164137389983,0.00795325516580845,0.00210411143374153,0.00116052555228582,0.000570833273871534,0.0144897549450894,0.00202167505212552,0.000515233390421193,0.00146300921864616,0.00364483837285839,0.00340664431907993
"Bacteroides heparinolyticus",0.0243194604322379,0,0.0120467413564631,0.0100745516824501,0.00691228312711689,0,0.0263036759387124,0.0866551126516465,0.00690455148033584,0.00251487548851456,0,0.00737082626962483,0,0.0164671010844762,0,0,0.0166223404255319,0.017925430210325,0.00300806160510167,0.00583754122763492,0.00565880631522785,0,0,0,0.0013910333987119,0.00530616576461849,0,0.0186084105449182,0.00427858419788638,0.0045592159700605,0.00451870477972643,0.00120777132582835,0.0177551987948892,0.0092285138742183,0,0,0.0122582068694991,0.0241982018874597,0.0210411143374153,0.00281841919840842,0.00114166654774307,0.118066943895792,0.0396248310216602,0.00752240750014942,0.000844043779988172,0.000214402257226964,0.000681328863815987
"Bacteroides helcogenes",0.0194555683457903,0,0,0,0,0,0.00657591898467811,0,0.00276182059213433,0.00452677587932621,0,0,0,0.00392073835344672,0,0,0,0.00298757170172084,0.00300806160510167,0,0,0,0,0.00225703065047623,0,0.010612331529237,0,0.00176951143218547,0.00139519049931078,0.000630529868199857,0.00138219205026926,0.00047260617097631,0.00218046300989868,0.00158706926499296,0,0.00536442314569773,0.014709848243399,0.00456889126546443,0.00631233430122459,0.00033157872922452,0,0.00190331526821089,0.000269556673616736,0.000515233390421193,0,0,0
