"","garrett_56","garrett_64","garrett_79","garrett_74","garrett_80","garrett_81","garrett_83","garrett_59","garrett_94","garrett_92","garrett_84","garrett_86","garrett_87","garrett_37","garrett_93","garrett_75","garrett_65","garrett_77","garrett_69","garrett_72","garrett_63","garrett_54","garrett_33","garrett_91","garrett_55","garrett_88","garrett_44","garrett_90","garrett_52","garrett_42","garrett_58","25617X43","25617X44","25617X45","25617X46","25617X47","25617X48","25617X49","25617X50","25617X51","25617X52","25617X53","25617X54","25617X55","25617X56","25617X57","25617X58","25617X59","25617X60","25617X61","25617X62","25617X63"
"Lughvirus lugh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015605493133583,0,0,0,0,0,0
"Toutatisvirus toutatis",0,0,0,0,0,0,0,0,0.12970168612192,0,0,0,0,0.395256916996047,0,0,0,0.000438458992026623,0,0,0,0,0,0,0,0.0307314074984634,0,0,0,0.0797130330809087,0,0,0,0,0,0,0,0.01346348030966,0.00403168907613845,0.00252911645316709,0.00113704844963444,0,0,0,0,0,0,0,0,0,0,0
"Brigitvirus brigit",0,0,0,0.0546746856205577,0,0,0,0,0,0,0,0,0,0.0658761528326746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328515111695138,0.0240934827129262,0,0,0,0,0.00403168907613845,0.00126455822658354,0.00341114534890332,0.00821203473690694,0,0,0.0469057819193846,0.0936329588014981,0,0,0,0,0,0.00323676970383557
"Roseolovirus humanbeta6a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61864692022888,0.580563226963937,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides fragilis",0.257289879931389,0.316455696202532,0.0792707094728498,0.382722799343904,0,0.714285714285714,0,0.476947535771065,1.42671854734112,0.252890173410405,0.253807106598985,0.318471337579618,0.696378830083565,0.527009222661397,0,1.42857142857143,1.02827763496144,0.00800187660448587,0,0.00466378030485577,0,2.52293577981651,0.369913686806412,0.0707714083510262,0.0754716981132075,0.583896742470805,0.276625172890733,0,0.376647834274953,0.199282582702272,0.740740740740741,0.213333333333333,0.361366622864652,0.379472352728587,0.127821050529259,0.0200746778014213,0.0167344626950209,0.242342645573881,0.262059789948999,0.0480532126101746,0.0443448895357431,0.110862468948244,0.147684310018904,0.227803405660915,0.462803714937928,0.327715355805243,0,0.320659642693541,0.287081339712919,0.177586690344892,0.0216494147892565,0.0145654636672601
"Bacteroides xylanisolvens",0.0857632933104631,0.421940928270042,0.554894966309949,0.92946965554948,0,0,0,0.158982511923688,0,0.578034682080925,0,1.19426751592357,0.557103064066852,0.0658761528326746,0,0.476190476190476,0.0856898029134533,0.00241152445614643,0.393700787401575,0.000777296717475962,0,0,0.246609124537608,0.424628450106157,0.905660377358491,0.660725261216964,0.345781466113416,0,0.56497175141243,0.478278198485452,0,0.177777777777778,0.164257555847569,0.301168533911577,0.187737167964849,0.0180672100212792,0.00901086452808815,0.188488724335241,0.330598504243353,0.0227620480785038,0.0511671802335498,0.170399720790819,0.277646502835539,0.290449342217666,0.394008568122831,0.218476903870162,0.0104593393183997,0,0.239234449760766,0.0560800074773343,0.023002503213585,0.00809192425958893
"Bacteroides finegoldii",0,0.105485232067511,0.0792707094728498,0,0,0,0,0,1.2970168612192,0.198699421965318,0,0.238853503184713,0.417827298050139,0,0,0.952380952380952,0.171379605826907,0.00186345071611315,0,0.00233189015242789,0,0.458715596330275,0.61652281134402,0.141542816702052,0.226415094339623,0.0768285187461586,0,0,0,0.278995615783181,0,0.0355555555555555,0.295663600525624,0.0903505601734731,0.0918713800679049,0,0.00386179908346635,0.0471221810838102,0.0786179369846998,0.00632279113291771,0.0272891627912265,0.0410601736845347,0.0531663516068053,0.0113901702830457,0.0125082085118359,0.140449438202247,0,0.0458085203847916,0.0478468899521531,0.0373866716515562,0.0189432379405994,0.00161838485191779
"Bacteroides ovatus",2.91595197255575,0.89662447257384,0.871977804201348,1.25751776927283,0,0.714285714285714,0,0.476947535771065,0.518806744487678,1.87861271676301,0.50761421319797,0.477707006369427,2.57660167130919,0.790513833992095,1.74216027874564,0,0.171379605826907,0.00317882769219302,0,0.00155459343495192,0,2.52293577981651,4.31565967940814,1.20311394196745,1.66037735849057,0.845113706207745,3.80359612724758,0,0.941619585687382,1.75368672777999,1.48148148148148,0.124444444444444,0.0985545335085414,0.192747861703409,0.211703614939085,0.0381418878227004,0.0205962617784872,0.262537866038371,0.243917189106376,0.0404658632506734,0.0841415852729485,0.137551581843191,0.254017013232514,0.27905917193462,0.63791863410363,0.187265917602996,0.00348644643946657,0.137425561154375,0,0.0654266753902234,0.0351802990325418,0.0210390030749312
"Bacteroides uniformis",2.74442538593482,3.27004219409283,0.554894966309949,1.36686714051394,0,13.5714285714286,0,0.476947535771065,2.72373540856031,3.73916184971098,0.761421319796954,0.955414012738854,1.88022284122563,2.10803689064559,1.39372822299652,1.9047619047619,0.25706940874036,0.00756341761245925,0,0.00233189015242789,1.53846153846154,2.29357798165138,3.94574599260173,0.990799716914367,0.754716981132076,2.75046097111248,2.42047026279391,1.3986013986014,2.07156308851224,0.398565165404544,0.740740740740741,1.81333333333333,2.52956636005256,2.0057824358511,1.69762332734172,0.126470470148954,0.244580608619536,1.46751935375295,2.66494647932751,0.412245981866235,0.571935370166123,1.03266336816605,2.10302457466919,1.23013839056894,2.94568310453735,2.91822721598002,0.0174322321973329,1.00778744846541,0.430622009569378,0.738386765118235,0.100128543400311,0.132707557857258
"Bacteroides thetaiotaomicron",0.600343053173242,0.89662447257384,0.198176773682124,1.31219245489338,0,0,0,0.317965023847377,0.648508430609598,0.632225433526012,0,1.55254777070064,2.78551532033426,1.91040843214756,0,0.952380952380952,1.88517566409597,0.00613842588837272,0.393700787401575,0.00310918686990385,1.53846153846154,1.37614678899083,1.23304562268804,0.424628450106157,0.452830188679245,1.24462200368777,1.31396957123098,0,0.376647834274953,1.07612594659227,6.66666666666667,0.871111111111111,0.558475689881735,0.903505601734731,0.211703614939085,0.0260970811418477,0.0437670562792853,0.538539212386402,0.528151268974137,0.088519075860848,0.177379558142972,0.326428380792051,0.448960302457467,0.438521555897261,0.737984302198318,0.405742821473158,0.0226619018565327,0.183234081539166,0.0956937799043062,0.280400037386672,0.0405926527298559,0.0258941576306846
"Bacteroides caccae",1.45797598627787,1.00210970464135,0.396353547364249,0.218698742482231,0,0.714285714285714,0,0.317965023847377,0.12970168612192,0.343208092485549,0,0.119426751592357,0.0696378830083565,1.31752305665349,0.348432055749129,0,1.45672664952871,0.00635765538438604,0.393700787401575,0.00155459343495192,0,0,1.10974106041924,0.141542816702052,0.150943396226415,1.19852489244007,1.52143845089903,0,1.31826741996234,0,0.740740740740741,0.302222222222222,0.591327201051248,0.487893024936755,0.347513481126423,0.0361344200425583,0.025745327223109,0.430831369909122,0.749894168161751,0.108752007486185,0.15122744380138,0.256626085528342,0.496219281663516,0.387265789623555,0.469057819193846,0.842696629213483,0.00871611609866644,0.458085203847916,0.0956937799043062,0.439293391905786,0.0405926527298559,0.022657387926849
"Bacteroides faecis",0.171526586620926,0.263713080168776,0.713436385255648,0,0,0,0,0.158982511923688,0.389105058365759,0.144508670520231,0.253807106598985,0.0796178343949045,0.487465181058496,0.0658761528326746,0,0,0.171379605826907,0.00142499172408653,0.393700787401575,0.000777296717475962,0,0,0.123304562268804,0,0.150943396226415,0.0614628149969269,0,0,0,0.0398565165404544,0,0.266666666666667,0,0.0421635947476208,0.0439384861194328,0,0,0.0336587007741501,0.106839760517669,0.00126455822658354,0.0216039205430543,0.030795130263401,0.0236294896030246,0.0284754257076143,0.0500328340473436,0.0936329588014981,0,0,0.0956937799043062,0.0186933358257781,0,0.00161838485191779
"Bacteroides stercoris",0.343053173241853,1.5295358649789,2.53666270313119,7.43575724439584,0.14903129657228,0.714285714285714,0,2.38473767885533,0.648508430609598,3.14306358381503,0.253807106598985,6.64808917197452,2.99442896935933,13.7022397891963,0.696864111498258,0,0.51413881748072,0.00591919639235941,0,0.0225416048068029,0,18.348623853211,0.61652281134402,3.18471337579618,3.39622641509434,2.67363245236632,0.484094052558783,0,1.12994350282486,14.1490633718613,0,0.248888888888889,0.328515111695138,0.493916395614986,0.399440782903935,0.0381418878227004,0.0308943926677308,0.309660047122181,0.475739310984337,0.0493177708367582,0.0795933914744107,0.211459894475354,0.236294896030246,0.364485449057463,0.603521060696082,0.51498127340824,0.0226619018565327,0.229042601923958,0,0.0934666791288905,0.0108247073946282,0.00647353940767114
"Bacteroides caecimuris",0,0,0.0792707094728498,0.0546746856205577,0,0,0,0,0,0,0,0.119426751592357,0,0,0,0,0.0856898029134533,0.00186345071611315,0,0.000777296717475962,0,0,0,0,0,0.0921942224953903,0,0,0,0.0398565165404544,0,0,0,0.0481869654258523,0.00399440782903935,0.00200746778014213,0,0.00673174015483002,0.0100792226903461,0,0.00113704844963444,0.030795130263401,0.0118147448015123,0.0113901702830457,0,0.015605493133583,0,0,0,0,0,0
"Bacteroides sp. A1C1",0,0.0527426160337553,0,0,0,0,0,0,0,0.180635838150289,0,0,0.0696378830083565,0.0658761528326746,0,0,0,0.000438458992026623,0,0,0,0,0.123304562268804,0,0.0754716981132075,0.0460971112476952,0,0,0,0.119569549621363,0,0.0177777777777778,0,0,0,0.00401493556028426,0.0051490654446218,0.01346348030966,0.0524119579897998,0.00505823290633417,0.00682229069780663,0.0143710607895871,0.100425330812854,0,0.00312705212795897,0.031210986267166,0,0,0.143540669856459,0,0,0
"Bacteroides sp. MSB163",0.0857632933104631,0,0,0.0546746856205577,0,0,0,0,0,0,0,0.0398089171974522,0,0,0,0,0,0.00120576222807321,0,0.00233189015242789,0,0,0.123304562268804,0.0707714083510262,0,0.0460971112476952,0,0,0,0,0,0.0355555555555555,0,0.0120467413564631,0.0159776313161574,0,0.0025745327223109,0.0336587007741501,0.0322535126091076,0.0126455822658354,0.0204668720934199,0.0143710607895871,0.0708884688090737,0.0227803405660915,0.0218893648957128,0.0624219725343321,0,0,0,0.00934666791288906,0.00135308842432853,0.00323676970383557
"Bacteroides sp. D2",0.257289879931389,0,0.0396353547364249,0,0,0,0,0.158982511923688,0,0.0722543352601156,0,0.0796178343949045,0,0,0.696864111498258,0,0.342759211653813,0.00109614748006656,0,0,0,0,0.123304562268804,0.141542816702052,0.0754716981132075,0.122925629993854,0.553250345781466,0,0,0.0398565165404544,0.740740740740741,0,0.0985545335085414,0,0.0159776313161574,0,0.00128726636115545,0.01346348030966,0.0221742899187615,0,0.00682229069780663,0.0205300868422673,0.00590737240075614,0.0170852554245686,0.0156352606397949,0.015605493133583,0,0.0458085203847916,0,0,0.00541235369731412,0
"Bacteroides sp. HF-162",0.0857632933104631,0.0527426160337553,0,0,0,0,0,0,0,0.0180635838150289,0,0.0796178343949045,0,0.0658761528326746,0,0,0.25706940874036,0.00142499172408653,0,0,0,0,0,0,0,0.153657037492317,0,0,0.188323917137476,0.0398565165404544,0,0.0177777777777778,0,0.00602337067823154,0.0319552626323148,0,0.00128726636115545,0.0269269606193201,0.0685387142943536,0.00379367467975063,0.00909638759707551,0.0061590260526802,0,0.0170852554245686,0.0375246255355077,0,0,0,0,0.00934666791288906,0,0.00323676970383557
"Bacteroides sp. ZJ-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403168907613845,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CACC 737",0.171526586620926,0,0,0.273373428102788,0,0,0,0,0,0.0361271676300578,0,0,0.0696378830083565,0.0658761528326746,0.348432055749129,0,0,0.000328844244019967,0,0,0,0,0,0,0,0.0768285187461586,0,0,0.188323917137476,0,0,0.0355555555555555,0.0328515111695138,0.0481869654258523,0.0199720391451967,0,0,0.0336587007741501,0.036285201685246,0,0.0102334360467099,0.0246361042107208,0.00590737240075614,0,0.0250164170236718,0.031210986267166,0,0,0,0.00934666791288906,0.00270617684865706,0.00161838485191779
"Bacteroides sp. BFG-257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120467413564631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides intestinalis",0.171526586620926,0.949367088607595,0,0.0546746856205577,0,0,0,0,0.12970168612192,0.126445086705202,0,0.318471337579618,1.04456824512535,0.329380764163373,0,0,0.342759211653813,0.00537112265232613,0.78740157480315,0.000777296717475962,0,0,0,0,0.0754716981132075,1.259987707437,0,0,0.56497175141243,0.0797130330809087,0,0.195555555555556,0.0657030223390276,0.15660763763402,0.0718993409227082,0.00602240334042639,0.00128726636115545,0.0403904409289801,0.149172495817123,0.027820280984838,0.0250150658919577,0.0656962778952555,0.171313799621928,0.102511532547412,0.272053535132431,0.0936329588014981,0.00174322321973329,0.137425561154375,0.143540669856459,0.0841200112160015,0.0202963263649279,0.00485515455575336
"Bacteroides zhangwenhongii",0,0.0527426160337553,0.0792707094728498,0,0,0,0,0,0,0.108381502890173,0,0.0796178343949045,0,0,0,0,0,0.000548073740033279,0,0.000777296717475962,0,0,0,0,0,0.0153657037492317,0,0,0,0.0398565165404544,0,0,0,0.0361402240693892,0.0159776313161574,0,0,0,0.00604753361420767,0,0,0,0.0118147448015123,0,0.00625410425591795,0.0780274656679151,0,0,0,0,0,0
"Bacteroides salyersiae",0,0.0527426160337553,0.0792707094728498,0,0,0,0,0.317965023847377,0,0.0722543352601156,0,0,0.0696378830083565,0,0,0,0.0856898029134533,0.0037269014322263,0,0.00155459343495192,0,0,0,0.0707714083510262,0.0754716981132075,0.353411186232329,0,0,0.188323917137476,0,0.740740740740741,0,0.131406044678055,0.0180701120346946,0,0,0.00386179908346635,0,0.0241901344568307,0.0113810240392519,0.0113704844963444,0.0123180521053604,0.0295368620037807,0.0284754257076143,0.131336189374277,0.031210986267166,0,0,0,0,0.00135308842432853,0.00161838485191779
"Bacteroides cellulosilyticus",3.9451114922813,0.527426160337553,0.237812128418549,0.71077091306725,0,0,0,0.635930047694754,0.518806744487678,0.632225433526012,0,0.756369426751592,0.278551532033426,1.11989459815547,1.74216027874564,0,0,0.00230190970813977,0,0.000777296717475962,0,0,3.45252774352651,0.636942675159236,0,0.245851259987707,8.29875518672199,0.699300699300699,0.376647834274953,0.199282582702272,0,0.657777777777778,0.624178712220762,0.457776171545597,0.555222688236469,0.0762837756454009,0.0579269862519953,0.605856613934702,0.895034974902736,0.134043172017856,0.175105461243704,0.229936972633394,0.691162570888469,0.330314938208326,0.628537477719754,1.09238451935081,0.00871611609866644,0.229042601923958,0.478468899521531,0.149546686606225,0.0392395643055274,0.045314775853698
"uncultured Bacteroides sp.",0,0,0.0396353547364249,0,0,0,0,0,0,0.0180635838150289,0,0.0796178343949045,0,0,0,0,0,0.0149076057289052,0,0.0108821540446635,0,0,0,0,0,0.0153657037492317,0,0,0,0,0.740740740740741,0,0,0.0180701120346946,0.0159776313161574,0,0,0.0201952204644901,0.00201584453806922,0.00252911645316709,0.00227409689926888,0.00410601736845347,0.00590737240075614,0,0.00312705212795897,0.0936329588014981,0,0,0,0,0.00135308842432853,0
"Bacteroides luhongzhouii",0,0,0,0.273373428102788,0,0,0,0,0,0.0361271676300578,0,0,0.278551532033426,0.0658761528326746,0,0,0.171379605826907,0.000328844244019967,0,0,0,0,0,0,0.150943396226415,0.0921942224953903,0.138312586445367,0,0.188323917137476,0.0797130330809087,0,0.0888888888888889,0,0.0120467413564631,0.0159776313161574,0,0,0.0201952204644901,0.00403168907613845,0.00126455822658354,0.00454819379853776,0.00410601736845347,0.041351606805293,0.0113901702830457,0.00625410425591795,0,0,0,0,0.0186933358257781,0,0
"Bacteroides faecium",0,0.0527426160337553,0,0,0,0,0,0,0,0.0361271676300578,0,0,0,0,0.348432055749129,0,0,0.00394613092823961,0,0.00155459343495192,0,0,0,0,0,0.0460971112476952,0,0,0,0,0,0,0,0,0.00399440782903935,0.00200746778014213,0,0,0.0342693571471768,0,0.00227409689926888,0.00821203473690694,0,0.0341705108491372,0.0906845117108102,0.015605493133583,0,0.0458085203847916,0.0478468899521531,0.00934666791288906,0,0
"Bacteroides nordii",0,0.0527426160337553,0.237812128418549,0,0,0,0,0,0,0.0361271676300578,0,0,0.20891364902507,0.131752305665349,0,0,0.25706940874036,0.00438458992026623,0,0.00155459343495192,0,0,0,0,0.0754716981132075,0.230485556238476,0,0,0.188323917137476,0.0797130330809087,0,0,0,0.0240934827129262,0.00399440782903935,0.00200746778014213,0,0,0.0262059789948999,0.00252911645316709,0.00341114534890332,0.0164240694738139,0.0354442344045369,0.0113901702830457,0.0125082085118359,0.0936329588014981,0,0,0,0,0.00541235369731412,0
"Bacteroides humanifaecis",0.0857632933104631,0.0527426160337553,0,0.0546746856205577,0,0,0,0,0.12970168612192,0.0361271676300578,0,0.0398089171974522,0.487465181058496,0,0,0,0,0.000109614748006656,0,0.00155459343495192,0,0,0,0,0,0.0307314074984634,0,0,0,0,0,0.0177777777777778,0.0657030223390276,0.0361402240693892,0.0958657878969443,0,0.00386179908346635,0,0.0282218235329691,0.00505823290633417,0.00454819379853776,0.0184770781580406,0,0.0113901702830457,0.0218893648957128,0.0468164794007491,0,0,0,0.00934666791288906,0.00270617684865706,0.00161838485191779
"Bacteroides eggerthii",0,0.105485232067511,0,0.273373428102788,0,0,0,0,0,0.0722543352601156,0,0.0796178343949045,0,0.329380764163373,0,0,0,0.00405574567624627,0,0.00544107702233173,0,0.458715596330275,0.369913686806412,0.0707714083510262,0.0754716981132075,0.0768285187461586,0,0,0,0.398565165404544,1.48148148148148,0,0,0.00602337067823154,0.00399440782903935,0,0,0.01346348030966,0.0141109117664846,0.00126455822658354,0.00227409689926888,0.00410601736845347,0.0118147448015123,0.0170852554245686,0.0250164170236718,0.031210986267166,0,0,0,0,0,0.00161838485191779
"Bacteroides zoogleoformans",0,0,0,0,0,0.714285714285714,0,0,0,0,0,0.0796178343949045,0.139275766016713,0,0,0,0,0.00613842588837272,0,0.00310918686990385,0,0,0,0,0,0,0,0,0,0,0,0.0177777777777778,0,0.00602337067823154,0.00399440782903935,0,0,0,0.00403168907613845,0,0.00682229069780663,0.00410601736845347,0,0,0.00312705212795897,0.015605493133583,0,0,0,0,0,0
"Bacteroides heparinolyticus",0,0.0527426160337553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162229827049851,0,0.0116594507621394,0,0,0,0,0,0,0,0,0,0.0398565165404544,0,0,0,0,0,0,0,0.00673174015483002,0,0,0.00113704844963444,0.00410601736845347,0,0,0,0,0,0,0,0,0,0
"Bacteroides helcogenes",0,0,0,0,0,0.714285714285714,0,0,0,0,0,0.0398089171974522,0,0,0,0,0,0.00339805718820633,0,0.00466378030485577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542103361040838,0.0559217096065508,0,0,0,0.00403168907613845,0.00126455822658354,0,0,0.00590737240075614,0,0.0312705212795897,0.031210986267166,0,0,0,0,0,0
"Bacteroides graminisolvens",0.0857632933104631,0,0.0792707094728498,0,0,0,0,0,0,0.0180635838150289,0,0,0,0,0,0.476190476190476,0,0.0019730654641198,0,0.000777296717475962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399440782903935,0,0,0,0.0141109117664846,0,0.00795933914744107,0,0,0,0,0,0,0,0.0478468899521531,0,0,0
"Phocaeicola dorei",0.171526586620926,0.89662447257384,3.44827586206897,2.62438490978677,0.29806259314456,0,0,0,0.648508430609598,0.704479768786127,0,1.27388535031847,0.766016713091922,5.53359683794466,1.04529616724739,0,3.94173093401885,0.0185248924131248,0.393700787401575,0.00544107702233173,0,10.5504587155963,17.3859432799014,7.64331210191083,15.6981132075472,1.81315304240934,0.622406639004149,1.3986013986014,3.76647834274953,15.7433240334795,0.740740740740741,2.15111111111111,1.70827858081472,2.12624984941573,1.29418813660875,0.102380856787249,0.164770094227898,1.25883540895321,2.27790432801822,0.287054717434464,0.565113079468316,0.909482847112443,1.58317580340265,0.979554644341933,2.17017417680353,3.01186017478152,0.0505534733722653,0.59551076500229,0.956937799043062,0.822506776334237,0.105540897097625,0.0631170092247937
"Phocaeicola vulgatus",4.03087478559177,2.32067510548523,1.70432025366627,5.90486604702023,0,2.85714285714286,0,1.11287758346582,4.53955901426719,4.42557803468208,1.77664974619289,3.06528662420382,6.4066852367688,4.28194993412385,2.4390243902439,3.33333333333333,0.342759211653813,0.0108518600526589,0.393700787401575,0.00544107702233173,0,0.229357798165138,3.57583230579531,3.53857041755131,1.28301886792453,3.42655193607867,2.62793914246196,3.4965034965035,1.50659133709981,1.03626943005181,2.96296296296296,4.92444444444444,4.23784494086728,4.26454644018793,3.05172758138606,0.21680652025535,0.365583646568148,3.78323796701447,5.17064124014756,0.648718370237358,1.35195060661535,2.22751442238601,3.89886578449905,3.07534597642235,5.16276306326026,6.02372034956305,0.0592695894709318,2.7027027027027,1.38755980861244,1.95345359379381,0.282795480684663,0.165075254895614
"Phocaeicola coprophilus",0,0,0.118906064209275,0,0,0,0,0,0,0.0722543352601156,0,0,0.139275766016713,0,0,0,0.0856898029134533,0.00449420466827289,0,0.00388648358737981,0,0,0,0,0,0.0768285187461586,0,0,0,0.0398565165404544,0,0.0355555555555555,0,0.0180701120346946,0.0239664469742361,0,0.00386179908346635,0.00673174015483002,0.0241901344568307,0.00126455822658354,0.00113704844963444,0.0225830955264941,0,0.0341705108491372,0.0813033553269333,0,0,0,0,0,0.00405926527298559,0
"Phocaeicola salanitronis",0.0857632933104631,0,0,0,0,0,0,0,0,0.0180635838150289,0,0,0,0,0,0,0,0.00493266366029951,0,0.00544107702233173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120467413564631,0.0159776313161574,0.00200746778014213,0.00128726636115545,0.01346348030966,0.0262059789948999,0.00126455822658354,0.00113704844963444,0.0102650434211337,0.0236294896030246,0,0.00312705212795897,0,0,0,0,0.00934666791288906,0.00270617684865706,0
"Parabacteroides distasonis",0.171526586620926,1.21308016877637,2.17994451050337,20.6123564789502,0,0,19.4690265486726,17.8060413354531,0.12970168612192,1.06575144508671,0,24.4426751592357,8.008356545961,1.71277997364954,1.04529616724739,0,0.77120822622108,0.0094268683285724,0,0.00155459343495192,6.15384615384615,1.14678899082569,0.123304562268804,0.636942675159236,1.05660377358491,4.47141979102643,0,0,1.88323917137476,1.15583897967318,1.48148148148148,0.124444444444444,0.26281208935611,0.445729430189134,0.327541441981226,0.0180672100212792,0.0476288553627517,0.323123527431841,0.562420626121313,0.0923127505405986,0.103471408916734,0.2073538771069,0.212665406427221,0.609374110142947,0.581631695800369,0.405742821473158,0.00174322321973329,0.320659642693541,0.478468899521531,0.0934666791288905,0.00676544212164265,0.0307493121864379
